자치구,발생-합계,검거-합계,살인-발생,살인-검거,강도-발생,강도-검거,강간강제추행-발생,강간강제추행-검거,절도-발생,절도-검거
강남구,4509,3879,10,13,14,10,600,523,3885,3333
강동구,2404,2024,3,3,7,7,170,143,2224,1871
강북구,2325,2140,8,6,7,7,188,135,2122,1992
강서구,2905,2487,11,9,6,3,269,246,2619,2229
광진구,2146,1815,7,5,2,1,229,184,1908,1625
구로구,3093,2551,8,8,9,9,250,181,2826,2353
노원구,2585,2140,5,4,5,5,194,173,2381,1958
동대문구,2233,2038,2,2,5,4,145,112,2081,1920
마포구,3161,2687,6,6,6,7,473,396,2676,2278
서대문구,1740,1431,5,4,3,3,206,189,1526,1235
성동구,1458,1300,2,2,5,8,126,102,1325,1188
성북구,1878,1642,7,6,1,2,183,140,1687,1494
송파구,3455,3017,5,6,6,8,309,254,3135,2749
양천구,2131,1813,2,3,4,14,120,111,2005,1685
영등포구,3548,2858,17,15,8,6,391,267,3132,2570
은평구,2312,2047,8,8,1,1,188,169,2115,1869
종로구,2207,2944,6,7,3,7,236,1100,1962,1830
중구,2175,1847,2,2,11,11,207,115,1955,1719
중랑구,2762,2346,4,5,3,3,174,145,2581,2193
서초구,2875,2345,5,5,5,5,470,315,2395,2020
동작구,1949,1558,3,3,7,7,288,154,1651,1394
